S7646: min=-98.5, max=99.8, avg=-1.9
S8628: min=-99.8, max=99.9, avg=-4.5
S9834: min=-99.1, max=98.7, avg=-11.8
S8625: min=-98.1, max=98.8, avg=4.5
S2662: min=-99.7, max=99.8, avg=5.4
S0637: min=-97.2, max=99.2, avg=11.6
S6994: min=-98.7, max=94.6, avg=-6.2
S1270: min=-97.1, max=93.6, avg=3.9
S6416: min=-99.7, max=98.9, avg=-2.8
S4925: min=-97.8, max=99.9, avg=-8.8
S6868: min=-96.7, max=98.0, avg=-6.5
S5823: min=-99.8, max=98.9, avg=0.1
S6513: min=-99.5, max=96.4, avg=-7.0
S1625: min=-92.2, max=99.6, avg=0.7
S3562: min=-99.2, max=97.7, avg=-11.6
S5735: min=-97.0, max=97.3, avg=14.8
S8033: min=-97.9, max=96.9, avg=2.1
S5025: min=-99.1, max=99.4, avg=-9.9
S0510: min=-97.0, max=99.2, avg=3.1
S7884: min=-99.6, max=94.2, avg=-5.7
S3575: min=-99.4, max=99.5, avg=4.6
S1477: min=-98.6, max=98.7, avg=-5.6
S2314: min=-93.0, max=99.4, avg=0.8
S6858: min=-98.6, max=99.6, avg=-4.5
S7338: min=-98.1, max=93.8, avg=-11.9
S5967: min=-99.2, max=98.5, avg=-8.7
S6746: min=-99.6, max=99.1, avg=-4.6
S8124: min=-97.8, max=97.4, avg=6.3
S4061: min=-97.0, max=95.4, avg=-7.3
S5668: min=-98.0, max=99.4, avg=13.0
S7647: min=-98.3, max=98.3, avg=4.8
S6413: min=-98.4, max=99.7, avg=9.2
S9966: min=-95.1, max=99.8, avg=-7.2
S0848: min=-99.1, max=97.3, avg=3.1
S4749: min=-95.0, max=97.3, avg=2.9
S4257: min=-98.6, max=97.8, avg=0.9
S4520: min=-99.2, max=99.0, avg=9.7
S0718: min=-93.8, max=97.2, avg=-2.8
S8805: min=-99.8, max=99.8, avg=-1.8
S7041: min=-98.2, max=91.3, avg=-12.8
S6409: min=-98.5, max=97.8, avg=-7.0
S4325: min=-99.8, max=93.7, avg=-10.4
S3263: min=-99.7, max=97.4, avg=-0.7
S5015: min=-99.3, max=97.0, avg=1.6
S5687: min=-99.3, max=99.9, avg=-1.8
S6403: min=-98.9, max=99.8, avg=4.0
S9012: min=-98.2, max=99.8, avg=1.2
S1767: min=-98.9, max=93.7, avg=-2.2
S3015: min=-98.6, max=91.3, avg=-0.7
S9112: min=-98.1, max=99.7, avg=14.0
S4952: min=-98.8, max=99.3, avg=-6.8
S7921: min=-97.2, max=99.3, avg=2.4
S4321: min=-99.8, max=98.9, avg=4.4
S2885: min=-98.5, max=98.6, avg=6.8
S4558: min=-93.8, max=96.2, avg=6.1
S6084: min=-98.1, max=99.8, avg=-1.5
S4439: min=-98.3, max=96.9, avg=3.4
S8695: min=-99.9, max=97.9, avg=-6.6
S0494: min=-97.1, max=97.9, avg=-10.1
S2513: min=-98.0, max=98.2, avg=4.8
S8701: min=-97.2, max=98.4, avg=-3.2
S4191: min=-99.4, max=98.3, avg=0.9
S5409: min=-98.4, max=97.1, avg=-3.6
S9020: min=-99.3, max=97.9, avg=-6.3
S8483: min=-99.9, max=99.4, avg=-0.1
S7330: min=-96.1, max=99.8, avg=4.1
S6120: min=-99.9, max=98.2, avg=-0.8
S8531: min=-98.3, max=98.4, avg=3.3
S2227: min=-99.4, max=99.8, avg=7.2
S9124: min=-99.7, max=97.6, avg=-9.9
S6856: min=-97.0, max=97.1, avg=1.1
S4798: min=-99.8, max=99.1, avg=4.5
S0075: min=-95.1, max=97.4, avg=10.6
S3672: min=-96.9, max=98.6, avg=10.9
S6046: min=-99.4, max=96.8, avg=-2.8
S9366: min=-98.8, max=97.0, avg=6.8
S9405: min=-95.4, max=97.5, avg=-0.1
S8723: min=-99.3, max=98.6, avg=-3.0
S9926: min=-99.5, max=86.7, avg=-14.9
S4296: min=-97.8, max=98.8, avg=2.9
S8396: min=-99.0, max=98.9, avg=-1.3
S0263: min=-99.9, max=96.5, avg=-3.5
S5453: min=-97.0, max=99.5, avg=8.3
S3209: min=-98.3, max=99.5, avg=1.9
S3022: min=-95.5, max=98.6, avg=-0.1
S4020: min=-98.6, max=97.5, avg=-17.0
S6467: min=-98.0, max=99.1, avg=4.3
S2418: min=-99.8, max=97.4, avg=-12.0
S4632: min=-99.5, max=98.9, avg=-5.1
S3146: min=-98.7, max=93.2, avg=8.7
S5605: min=-95.6, max=95.7, avg=6.0
S6372: min=-98.6, max=99.8, avg=15.3
S1586: min=-99.9, max=96.3, avg=-0.4
S6909: min=-99.3, max=99.3, avg=-9.1
S6771: min=-94.2, max=98.5, avg=4.4
S1839: min=-94.9, max=98.2, avg=9.8
S3106: min=-93.6, max=99.4, avg=7.2
S8344: min=-97.9, max=99.7, avg=4.7
S6614: min=-99.1, max=99.3, avg=-1.3
S4762: min=-99.4, max=97.8, avg=-13.7
S1426: min=-98.4, max=98.5, avg=0.8
S4896: min=-97.8, max=98.3, avg=-8.6
S0892: min=-98.7, max=94.0, avg=-9.3
S4464: min=-99.1, max=98.5, avg=-0.1
S8071: min=-99.6, max=90.5, avg=-11.3
S7448: min=-99.1, max=99.7, avg=-10.1
S1732: min=-99.7, max=99.0, avg=3.9
S3397: min=-99.7, max=98.6, avg=-0.1
S7418: min=-99.0, max=98.9, avg=-9.9
S0362: min=-98.6, max=99.6, avg=1.3
S4012: min=-97.3, max=99.0, avg=7.5
S5891: min=-98.0, max=99.7, avg=7.4
S0794: min=-96.6, max=96.0, avg=13.4
S4713: min=-99.3, max=98.7, avg=-7.3
S9587: min=-94.0, max=99.7, avg=5.9
S8711: min=-99.7, max=98.2, avg=-3.6
S1702: min=-97.6, max=97.9, avg=-11.4
S1406: min=-99.8, max=96.1, avg=-3.6
S4927: min=-97.9, max=99.5, avg=18.8
S3448: min=-97.1, max=99.3, avg=-1.8
S6111: min=-97.7, max=96.3, avg=-1.0
S1754: min=-94.7, max=99.8, avg=4.5
S0125: min=-96.9, max=97.5, avg=2.6
S6097: min=-99.3, max=98.0, avg=1.7
S7485: min=-93.0, max=95.1, avg=-5.2
S1595: min=-99.8, max=99.8, avg=-2.5
S2422: min=-98.7, max=97.3, avg=-6.2
S3506: min=-98.5, max=98.8, avg=-10.5
S7626: min=-99.8, max=99.2, avg=1.1
S1964: min=-96.7, max=99.7, avg=1.7
S6224: min=-99.8, max=97.2, avg=-1.2
S9970: min=-99.1, max=97.4, avg=3.4
S9113: min=-90.7, max=97.5, avg=11.5
S5691: min=-98.2, max=98.9, avg=-7.1
S3414: min=-98.1, max=97.5, avg=-4.2
S7145: min=-97.7, max=94.2, avg=-3.5
S1320: min=-96.9, max=98.0, avg=4.7
S7842: min=-98.4, max=94.0, avg=-10.4
S1580: min=-96.7, max=95.7, avg=-0.2
S2351: min=-97.3, max=99.3, avg=2.9
S3532: min=-95.0, max=98.5, avg=12.7
S2337: min=-99.3, max=98.7, avg=-2.7
S4929: min=-98.4, max=97.3, avg=7.5
S5207: min=-97.4, max=98.4, avg=4.8
S7588: min=-99.7, max=99.7, avg=1.9
S1502: min=-98.7, max=98.3, avg=0.9
S5645: min=-99.4, max=96.5, avg=-6.7
S1202: min=-99.4, max=97.5, avg=-7.0
S8259: min=-99.9, max=98.6, avg=5.4
S0635: min=-99.4, max=96.8, avg=2.6
S7044: min=-98.3, max=98.4, avg=-6.3
S5485: min=-97.0, max=99.0, avg=-4.2
S4542: min=-99.3, max=97.8, avg=7.0
S7881: min=-98.8, max=93.7, avg=-8.1
S8516: min=-99.8, max=99.1, avg=5.0
S8478: min=-97.3, max=97.5, avg=4.0
S2522: min=-92.1, max=99.0, avg=-5.7
S0292: min=-97.3, max=97.0, avg=-5.0
S2420: min=-96.7, max=99.0, avg=0.4
S8447: min=-99.1, max=99.7, avg=-3.1
S2117: min=-99.6, max=97.1, avg=4.9
S6915: min=-97.4, max=96.4, avg=3.2
S8467: min=-95.8, max=97.0, avg=8.3
S0789: min=-96.1, max=97.0, avg=5.4
S9489: min=-97.9, max=99.5, avg=-4.9
S6938: min=-98.9, max=98.3, avg=6.4
S1291: min=-96.6, max=96.2, avg=-9.1
S2461: min=-99.9, max=97.0, avg=-4.2
S6546: min=-99.8, max=97.3, avg=0.3
S0316: min=-89.6, max=98.7, avg=12.9
S8000: min=-95.9, max=99.0, avg=2.4
S1429: min=-99.0, max=98.7, avg=15.3
S7068: min=-99.6, max=97.9, avg=6.6
S2630: min=-99.6, max=98.4, avg=4.4
S3833: min=-98.8, max=94.9, avg=-8.6
S0698: min=-98.4, max=99.0, avg=3.1
S7056: min=-97.9, max=97.4, avg=2.5
S5048: min=-98.5, max=99.8, avg=-4.9
S9657: min=-99.3, max=98.7, avg=0.6
S8648: min=-98.9, max=99.6, avg=-3.2
S4853: min=-93.1, max=98.7, avg=-4.9
S5188: min=-96.6, max=97.6, avg=3.4
S6370: min=-98.9, max=98.9, avg=0.4
S6462: min=-99.3, max=99.7, avg=0.9
S8028: min=-99.9, max=99.5, avg=11.6
S8255: min=-99.7, max=99.4, avg=-6.8
S2663: min=-99.7, max=98.5, avg=9.0
S0404: min=-99.4, max=87.7, avg=-6.9
S2796: min=-99.7, max=98.8, avg=11.7
S4228: min=-94.4, max=97.6, avg=-3.8
S2444: min=-98.2, max=98.6, avg=-7.6
S4057: min=-97.9, max=99.8, avg=1.8
S5919: min=-95.3, max=99.6, avg=0.5
S5934: min=-97.7, max=97.3, avg=-5.4
S4452: min=-99.1, max=96.9, avg=3.3
S6735: min=-97.4, max=98.9, avg=3.9
S8089: min=-97.4, max=94.3, avg=-1.7
S3272: min=-97.2, max=97.0, avg=-0.9
S3666: min=-98.1, max=93.9, avg=-7.5
S6681: min=-98.9, max=98.7, avg=3.7
S9397: min=-98.8, max=96.4, avg=4.6
S7217: min=-98.7, max=99.5, avg=6.2
S5179: min=-98.2, max=97.9, avg=8.6
S6245: min=-98.0, max=99.5, avg=3.2
S7270: min=-98.5, max=97.1, avg=-4.2
S8491: min=-95.8, max=99.5, avg=2.1
S9997: min=-94.6, max=98.2, avg=-0.1
S7739: min=-95.0, max=99.0, avg=-2.0
S0450: min=-97.3, max=99.1, avg=1.4
S3381: min=-92.6, max=99.3, avg=5.4
S0703: min=-99.7, max=98.4, avg=1.1
S6600: min=-98.0, max=99.1, avg=7.1
S6175: min=-99.5, max=99.9, avg=2.3
S4859: min=-94.6, max=98.6, avg=3.7
S6361: min=-93.9, max=99.7, avg=-2.5
S4877: min=-99.7, max=97.1, avg=-2.5
S1037: min=-99.9, max=97.8, avg=8.1
S6028: min=-99.7, max=95.5, avg=4.9
S2207: min=-98.8, max=99.6, avg=-4.4
S7102: min=-97.4, max=95.4, avg=2.2
S9160: min=-99.8, max=98.9, avg=7.5
S5661: min=-92.3, max=99.2, avg=5.9
S9804: min=-97.5, max=98.8, avg=4.5
S4172: min=-99.9, max=98.0, avg=-6.7
